time,festivalId,nazivFestivala,tipKarte,razlog,staraCena,novaCena,deltaCene,procenatPromene
2025-07-21T18:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,30647.23,34440.74,3793.51,12.38
2025-08-04T06:17:48Z,F001,EXIT Festival,VIP All Access,PROMO_AKCIJA,34440.74,29538.16,-4902.58,-14.23
2025-08-20T09:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,29538.16,30523.04,984.88,3.33
2025-08-31T11:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,30523.04,34956.76,4433.72,14.53
2025-09-13T08:17:48Z,F001,EXIT Festival,VIP All Access,PROMO_AKCIJA,34956.76,30331.52,-4625.24,-13.23
2025-09-25T16:17:48Z,F001,EXIT Festival,VIP All Access,VREMENSKI_PERIOD,30331.52,31445.43,1113.91,3.67
2025-10-06T12:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,31445.43,32932.04,1486.61,4.73
2025-10-20T10:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,32932.04,35867.55,2935.51,8.91
2025-11-03T03:17:48Z,F001,EXIT Festival,VIP All Access,PROMO_AKCIJA,35867.55,31801.64,-4065.91,-11.34
2025-11-17T18:17:48Z,F001,EXIT Festival,VIP All Access,PROMO_AKCIJA,31801.64,28341.4,-3460.24,-10.88
2025-11-27T15:17:48Z,F001,EXIT Festival,VIP All Access,VREMENSKI_PERIOD,28341.4,30110.02,1768.62,6.24
2025-12-09T03:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,30110.02,32632.02,2522.0,8.38
2025-12-25T12:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,32632.02,34262.26,1630.24,5.0
2026-01-07T12:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,34262.26,35393.63,1131.37,3.3
2026-01-18T04:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,35393.63,35666.93,273.3,0.77
2026-02-01T07:17:48Z,F001,EXIT Festival,VIP All Access,VREMENSKI_PERIOD,35666.93,38248.03,2581.1,7.24
2026-02-16T00:17:48Z,F001,EXIT Festival,VIP All Access,PROMO_AKCIJA,38248.03,35588.27,-2659.76,-6.95
2026-03-01T17:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,35588.27,39921.88,4333.61,12.18
2026-03-13T10:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,39921.88,38446.07,-1475.81,-3.7
2026-03-26T03:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,38446.07,39231.65,785.58,2.04
2026-04-08T08:17:48Z,F001,EXIT Festival,VIP All Access,VREMENSKI_PERIOD,39231.65,41640.17,2408.52,6.14
2026-04-20T00:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,41640.17,45284.46,3644.29,8.75
2026-05-03T12:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,45284.46,49913.75,4629.29,10.22
2026-05-15T07:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,49913.75,47964.75,-1949.0,-3.9
2024-12-05T02:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,5000.0,4452.93,-547.07,-10.94
2024-12-13T22:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,4452.93,4763.98,311.05,6.99
2024-12-30T07:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,4763.98,5098.41,334.43,7.02
2025-01-11T15:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,5098.41,5262.13,163.72,3.21
2025-01-21T20:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,5262.13,4686.98,-575.15,-10.93
2025-02-06T15:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,4686.98,5107.35,420.37,8.97
2025-02-21T17:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,5107.35,5629.3,521.95,10.22
2025-03-04T09:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,5629.3,6044.79,415.49,7.38
2025-03-18T17:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,6044.79,6703.88,659.09,10.9
2025-03-26T23:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,6703.88,7052.31,348.43,5.2
2025-04-12T11:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,7052.31,6329.35,-722.96,-10.25
2025-04-23T02:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,6329.35,6745.72,416.37,6.58
2025-05-08T19:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,6745.72,7548.92,803.2,11.91
2025-05-20T14:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,7548.92,6595.02,-953.9,-12.64
2025-06-03T06:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,6595.02,7524.78,929.76,14.1
2025-06-12T01:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,7524.78,6871.14,-653.64,-8.69
2025-06-27T19:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,6871.14,6164.16,-706.98,-10.29
2025-07-11T04:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,6164.16,6719.85,555.69,9.01
2025-07-24T20:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,6719.85,5931.46,-788.39,-11.73
2025-08-02T19:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,5931.46,6344.0,412.54,6.96
2025-08-18T04:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,6344.0,6731.51,387.51,6.11
2025-08-30T13:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,6731.51,6942.36,210.85,3.13
2025-09-11T23:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,6942.36,6027.28,-915.08,-13.18
2025-09-26T12:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,6027.28,6215.02,187.74,3.11
2025-10-06T20:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,6215.02,6082.57,-132.45,-2.13
2025-10-22T13:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,6082.57,5515.21,-567.36,-9.33
2025-11-01T16:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,5515.21,6015.07,499.86,9.06
2025-11-15T16:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,6015.07,6454.75,439.68,7.31
2025-11-30T06:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,6454.75,6715.07,260.32,4.03
2025-12-10T07:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,6715.07,6965.52,250.45,3.73
2025-12-26T08:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,6965.52,7412.8,447.28,6.42
2026-01-05T04:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,7412.8,7934.94,522.14,7.04
2026-01-18T20:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,7934.94,8773.66,838.72,10.57
2026-02-01T13:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,8773.66,9217.05,443.39,5.05
2026-02-13T22:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,9217.05,10212.94,995.89,10.8
2026-02-27T22:17:48Z,F001,EXIT Festival,Regular,POVECANJE_TRAZNJE,10212.94,11047.66,834.72,8.17
2026-03-08T22:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,11047.66,11899.77,852.11,7.71
2026-03-24T02:17:48Z,F001,EXIT Festival,Regular,PROMO_AKCIJA,11899.77,10991.66,-908.11,-7.63
2026-04-06T22:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,10991.66,10871.59,-120.07,-1.09
2026-04-18T23:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,10871.59,12041.65,1170.06,10.76
2026-05-02T16:17:48Z,F001,EXIT Festival,Regular,SEZONSKI_FAKTOR,12041.65,12912.98,871.33,7.24
2026-05-14T20:17:48Z,F001,EXIT Festival,Regular,VREMENSKI_PERIOD,12912.98,13417.01,504.03,3.9
2024-12-04T12:17:48Z,F001,EXIT Festival,Fan Pit Pass,VREMENSKI_PERIOD,8000.0,8628.65,628.65,7.86
2024-12-16T20:17:48Z,F001,EXIT Festival,Fan Pit Pass,VREMENSKI_PERIOD,8628.65,9179.55,550.9,6.38
2024-12-27T06:17:48Z,F001,EXIT Festival,Fan Pit Pass,PROMO_AKCIJA,9179.55,7943.78,-1235.77,-13.46
2025-01-09T08:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,7943.78,8349.03,405.25,5.1
2025-01-22T14:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,8349.03,8973.82,624.79,7.48
2025-02-07T22:17:48Z,F001,EXIT Festival,Fan Pit Pass,VREMENSKI_PERIOD,8973.82,9602.69,628.87,7.01
2025-02-17T11:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,9602.69,9514.48,-88.21,-0.92
2025-03-04T20:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,9514.48,10801.17,1286.69,13.52
2025-03-14T21:17:48Z,F001,EXIT Festival,Fan Pit Pass,PROMO_AKCIJA,10801.17,9515.94,-1285.23,-11.9
2025-03-30T22:17:48Z,F001,EXIT Festival,Fan Pit Pass,PROMO_AKCIJA,9515.94,8554.47,-961.47,-10.1
2025-04-12T09:17:48Z,F001,EXIT Festival,Fan Pit Pass,PROMO_AKCIJA,8554.47,7965.06,-589.41,-6.89
2025-04-25T23:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,7965.06,8261.9,296.84,3.73
2025-05-06T14:17:48Z,F001,EXIT Festival,Fan Pit Pass,VREMENSKI_PERIOD,8261.9,8727.57,465.67,5.64
2025-05-21T07:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,8727.57,9955.72,1228.15,14.07
2025-06-02T01:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,9955.72,9587.46,-368.26,-3.7
2025-06-12T10:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,9587.46,10282.1,694.64,7.25
2025-06-27T02:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,10282.1,11586.54,1304.44,12.69
2025-07-09T06:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,11586.54,12262.37,675.83,5.83
2025-07-24T15:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,12262.37,13664.48,1402.11,11.43
2025-08-04T00:17:48Z,F001,EXIT Festival,Fan Pit Pass,VREMENSKI_PERIOD,13664.48,14745.47,1080.99,7.91
2025-08-19T11:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,14745.47,15491.37,745.9,5.06
2025-09-01T15:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,15491.37,16341.02,849.65,5.48
2025-09-13T03:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,16341.02,17362.48,1021.46,6.25
2025-09-23T18:17:48Z,F001,EXIT Festival,Fan Pit Pass,VREMENSKI_PERIOD,17362.48,18009.37,646.89,3.73
2025-10-10T00:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,18009.37,19451.77,1442.4,8.01
2025-10-19T22:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,19451.77,21322.36,1870.59,9.62
2025-11-02T03:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,21322.36,22541.35,1218.99,5.72
2025-11-17T09:17:48Z,F001,EXIT Festival,Fan Pit Pass,PROMO_AKCIJA,22541.35,20793.53,-1747.82,-7.75
2025-11-30T01:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,20793.53,22931.75,2138.22,10.28
2025-12-12T09:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,22931.75,25212.97,2281.22,9.95
2025-12-21T23:17:48Z,F001,EXIT Festival,Fan Pit Pass,PROMO_AKCIJA,25212.97,22710.93,-2502.04,-9.92
2026-01-08T15:17:48Z,F001,EXIT Festival,Fan Pit Pass,PROMO_AKCIJA,22710.93,20368.22,-2342.71,-10.32
2026-01-19T17:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,20368.22,21680.51,1312.29,6.44
2026-02-01T23:17:48Z,F001,EXIT Festival,Fan Pit Pass,VREMENSKI_PERIOD,21680.51,23143.14,1462.63,6.75
2026-02-12T23:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,23143.14,25895.8,2752.66,11.89
2026-02-26T11:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,25895.8,29778.26,3882.46,14.99
2026-03-10T10:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,29778.26,33669.73,3891.47,13.07
2026-03-26T01:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,33669.73,34019.59,349.86,1.04
2026-04-08T02:17:48Z,F001,EXIT Festival,Fan Pit Pass,VREMENSKI_PERIOD,34019.59,36526.32,2506.73,7.37
2026-04-17T08:17:48Z,F001,EXIT Festival,Fan Pit Pass,SEZONSKI_FAKTOR,36526.32,40752.13,4225.81,11.57
2026-05-03T21:17:48Z,F001,EXIT Festival,Fan Pit Pass,POVECANJE_TRAZNJE,40752.13,44857.12,4104.99,10.07
2026-05-14T23:17:48Z,F001,EXIT Festival,Fan Pit Pass,PROMO_AKCIJA,44857.12,42033.33,-2823.79,-6.3
2024-12-03T14:17:48Z,F001,EXIT Festival,Backstage Experience,PROMO_AKCIJA,25000.0,22347.77,-2652.23,-10.61
2024-12-16T18:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,22347.77,23547.47,1199.7,5.37
2024-12-29T05:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,23547.47,22977.01,-570.46,-2.42
2025-01-12T01:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,22977.01,24141.27,1164.26,5.07
2025-01-26T15:17:48Z,F001,EXIT Festival,Backstage Experience,PROMO_AKCIJA,24141.27,22252.52,-1888.75,-7.82
2025-02-07T20:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,22252.52,24117.96,1865.44,8.38
2025-02-19T19:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,24117.96,24911.21,793.25,3.29
2025-03-06T03:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,24911.21,26010.14,1098.93,4.41
2025-03-16T05:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,26010.14,29461.69,3451.55,13.27
2025-03-30T08:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,29461.69,31265.28,1803.59,6.12
2025-04-11T14:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,31265.28,30149.98,-1115.3,-3.57
2025-04-25T17:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,30149.98,31869.72,1719.74,5.7
2025-05-07T10:17:48Z,F001,EXIT Festival,Backstage Experience,PROMO_AKCIJA,31869.72,29628.0,-2241.72,-7.03
2025-05-22T02:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,29628.0,30967.1,1339.1,4.52
2025-05-31T05:17:48Z,F001,EXIT Festival,Backstage Experience,PROMO_AKCIJA,30967.1,28337.88,-2629.22,-8.49
2025-06-12T08:17:48Z,F001,EXIT Festival,Backstage Experience,PROMO_AKCIJA,28337.88,24756.25,-3581.63,-12.64
2025-06-29T12:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,24756.25,25851.14,1094.89,4.42
2025-07-09T16:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,25851.14,25999.37,148.23,0.57
2025-07-23T08:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,25999.37,27680.37,1681.0,6.47
2025-08-05T22:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,27680.37,29481.25,1800.88,6.51
2025-08-20T10:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,29481.25,31197.01,1715.76,5.82
2025-09-01T17:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,31197.01,30311.36,-885.65,-2.84
2025-09-11T16:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,30311.36,33931.96,3620.6,11.94
2025-09-27T05:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,33931.96,37669.91,3737.95,11.02
2025-10-06T10:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,37669.91,39374.33,1704.42,4.52
2025-10-18T22:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,39374.33,41385.88,2011.55,5.11
2025-11-03T00:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,41385.88,43638.91,2253.03,5.44
2025-11-14T07:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,43638.91,48135.85,4496.94,10.3
2025-11-30T17:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,48135.85,50794.79,2658.94,5.52
2025-12-11T22:17:48Z,F001,EXIT Festival,Backstage Experience,PROMO_AKCIJA,50794.79,45142.52,-5652.27,-11.13
2025-12-25T04:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,45142.52,51724.66,6582.14,14.58
2026-01-05T16:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,51724.66,57269.52,5544.86,10.72
2026-01-17T14:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,57269.52,61235.01,3965.49,6.92
2026-02-03T10:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,61235.01,64611.01,3376.0,5.51
2026-02-15T23:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,64611.01,69618.12,5007.11,7.75
2026-03-01T08:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,69618.12,78716.66,9098.54,13.07
2026-03-09T04:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,78716.66,81845.12,3128.46,3.97
2026-03-21T21:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,81845.12,90371.57,8526.45,10.42
2026-04-05T03:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,90371.57,100618.89,10247.32,11.34
2026-04-17T03:17:48Z,F001,EXIT Festival,Backstage Experience,SEZONSKI_FAKTOR,100618.89,110863.09,10244.2,10.18
2026-04-29T19:17:48Z,F001,EXIT Festival,Backstage Experience,VREMENSKI_PERIOD,110863.09,117498.27,6635.18,5.99
2026-05-17T06:17:48Z,F001,EXIT Festival,Backstage Experience,POVECANJE_TRAZNJE,117498.27,126537.27,9039.0,7.69
2024-12-02T07:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,3000.0,3092.79,92.79,3.09
2024-12-14T01:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,3092.79,3248.47,155.68,5.03
2024-12-27T22:17:48Z,F001,EXIT Festival,Day Pass,PROMO_AKCIJA,3248.47,3070.65,-177.82,-5.47
2025-01-13T08:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,3070.65,3224.49,153.84,5.01
2025-01-22T18:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,3224.49,3686.72,462.23,14.33
2025-02-07T05:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,3686.72,3891.39,204.67,5.55
2025-02-20T20:17:48Z,F001,EXIT Festival,Day Pass,PROMO_AKCIJA,3891.39,3589.84,-301.55,-7.75
2025-03-04T07:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,3589.84,3869.38,279.54,7.79
2025-03-16T14:17:48Z,F001,EXIT Festival,Day Pass,PROMO_AKCIJA,3869.38,3545.23,-324.15,-8.38
2025-03-29T04:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,3545.23,3757.86,212.63,6.0
2025-04-09T13:17:48Z,F001,EXIT Festival,Day Pass,SEZONSKI_FAKTOR,3757.86,3680.83,-77.03,-2.05
2025-04-25T06:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,3680.83,4154.67,473.84,12.87
2025-05-08T15:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,4154.67,4509.06,354.39,8.53
2025-05-19T16:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,4509.06,4790.77,281.71,6.25
2025-05-31T02:17:48Z,F001,EXIT Festival,Day Pass,PROMO_AKCIJA,4790.77,4459.45,-331.32,-6.92
2025-06-13T01:17:48Z,F001,EXIT Festival,Day Pass,SEZONSKI_FAKTOR,4459.45,4610.1,150.65,3.38
2025-06-29T00:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,4610.1,4931.0,320.9,6.96
2025-07-12T10:17:48Z,F001,EXIT Festival,Day Pass,SEZONSKI_FAKTOR,4931.0,5303.78,372.78,7.56
2025-07-25T12:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,5303.78,5496.9,193.12,3.64
2025-08-07T01:17:48Z,F001,EXIT Festival,Day Pass,PROMO_AKCIJA,5496.9,5053.29,-443.61,-8.07
2025-08-20T13:17:48Z,F001,EXIT Festival,Day Pass,PROMO_AKCIJA,5053.29,4511.13,-542.16,-10.73
2025-08-29T04:17:48Z,F001,EXIT Festival,Day Pass,SEZONSKI_FAKTOR,4511.13,4378.92,-132.21,-2.93
2025-09-13T05:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,4378.92,4984.88,605.96,13.84
2025-09-26T04:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,4984.88,5429.46,444.58,8.92
2025-10-07T16:17:48Z,F001,EXIT Festival,Day Pass,SEZONSKI_FAKTOR,5429.46,5339.71,-89.75,-1.65
2025-10-19T14:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,5339.71,5621.58,281.87,5.28
2025-11-03T02:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,5621.58,5857.23,235.65,4.19
2025-11-16T10:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,5857.23,6260.13,402.9,6.88
2025-11-30T12:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,6260.13,6626.68,366.55,5.86
2025-12-08T22:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,6626.68,7567.08,940.4,14.19
2025-12-21T21:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,7567.08,8368.63,801.55,10.59
2026-01-07T01:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,8368.63,9166.5,797.87,9.53
2026-01-17T04:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,9166.5,10041.05,874.55,9.54
2026-02-03T16:17:48Z,F001,EXIT Festival,Day Pass,POVECANJE_TRAZNJE,10041.05,11138.42,1097.37,10.93
2026-02-16T02:17:48Z,F001,EXIT Festival,Day Pass,PROMO_AKCIJA,11138.42,9738.49,-1399.93,-12.57
2026-02-24T19:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,9738.49,10242.87,504.38,5.18
2026-03-11T12:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,10242.87,10708.24,465.37,4.54
2026-03-22T10:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,10708.24,11301.0,592.76,5.54
2026-04-07T05:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,11301.0,12001.98,700.98,6.2
2026-04-18T15:17:48Z,F001,EXIT Festival,Day Pass,SEZONSKI_FAKTOR,12001.98,12625.6,623.62,5.2
2026-05-04T12:17:48Z,F001,EXIT Festival,Day Pass,PROMO_AKCIJA,12625.6,11305.34,-1320.26,-10.46
2026-05-13T09:17:48Z,F001,EXIT Festival,Day Pass,VREMENSKI_PERIOD,11305.34,12005.57,700.23,6.19
